recorded_time,DateTimeOriginal,SerialNumber,SourceFile,SubSecCreateDate,Name,Camera,Operation,Number,Roll,Pitch,Altitude,Temp,Pres,Oxy,Sal,UsblLongitude,UsblLatitude,UsblNorthing,UsblEasting,ShipNorthing,ShipEasting,count,FinalTime,NewFileName
2018-11-29 01:10:08.660,2018:11:29 01:10:09,75012000115.0,./IN2018_V06_045/stills/MRITC_SCS_IN2018_V06_045_20181129T011009Z_0356.JPG,2018-11-29 01:10:09.020,MRITC_SCS_IN2018_V06_045_20181129T011009Z_0356.JPG,SCS,45.0,356.0,4.62,-1.11,1.43,2.508495,1696.5181,3.615,34.638000000000005,147.3928790710657,-44.28606007908376,5096276.148405252,531343.8567966617,5097329.038481578,532360.0804919079,2,2018-11-29 01:10:08.660,MRITC_SCS_IN2018_V06_045_20181129T011008Z_0356.JPG
2018-11-29 01:10:08.660,2018:11:29 01:10:09,95013000014.0,./IN2018_V06_045/stills/MRITC_SCP_IN2018_V06_045_20181129T011009Z_0356.JPG,2018-11-29 01:10:09.970,MRITC_SCP_IN2018_V06_045_20181129T011009Z_0356.JPG,SCP,45.0,356.0,4.1175,-3.7975,1.0041666666666669,2.508744444444445,1697.1352777777781,3.615,34.638000000000005,147.39287949139685,-44.28605675707488,5096276.549191967,531344.2473887975,5097329.525952062,532360.4886773211,2,2018-11-29 01:10:08.660,MRITC_SCP_IN2018_V06_045_20181129T011008Z_0356.JPG
2018-11-29 01:10:13.670,2018:11:29 01:10:14,75012000115.0,./IN2018_V06_045/stills/MRITC_SCS_IN2018_V06_045_20181129T011014Z_0357.JPG,2018-11-29 01:10:14.030,MRITC_SCS_IN2018_V06_045_20181129T011014Z_0357.JPG,SCS,45.0,357.0,3.2225,0.3275,1.8625,2.510736363636364,1697.545,3.615,34.63731818181819,147.3928848446148,-44.28604422352685,5096278.195419788,531345.8570726479,5097331.482509019,532362.1326178053,2,2018-11-29 01:10:13.670,MRITC_SCS_IN2018_V06_045_20181129T011013Z_0357.JPG
2018-11-29 01:10:13.670,2018:11:29 01:10:14,95013000014.0,./IN2018_V06_045/stills/MRITC_SCP_IN2018_V06_045_20181129T011014Z_0357.JPG,2018-11-29 01:10:14.980,MRITC_SCP_IN2018_V06_045_20181129T011014Z_0357.JPG,SCP,45.0,357.0,3.1575,-0.415,1.8,2.5107350000000004,1697.6154500000007,3.615,34.63765000000001,147.39289091401238,-44.28604206226798,5096278.662484907,531346.3204575642,5097331.980248767,532362.558032189,2,2018-11-29 01:10:13.670,MRITC_SCP_IN2018_V06_045_20181129T011013Z_0357.JPG
2018-11-29 01:10:18.660,2018:11:29 01:10:19,75012000115.0,./IN2018_V06_045/stills/MRITC_SCS_IN2018_V06_045_20181129T011019Z_0358.JPG,2018-11-29 01:10:19.020,MRITC_SCS_IN2018_V06_045_20181129T011019Z_0358.JPG,SCS,45.0,358.0,3.16,-4.055,2.0666666666666664,2.51084,1699.56965,3.616,34.63765000000001,147.392911990252,-44.28603219891583,5096280.524503746,531348.1735418674,5097333.899753423,532364.1089084668,2,2018-11-29 01:10:18.660,MRITC_SCS_IN2018_V06_045_20181129T011018Z_0358.JPG
2018-11-29 01:10:18.660,2018:11:29 01:10:19,95013000014.0,./IN2018_V06_045/stills/MRITC_SCP_IN2018_V06_045_20181129T011019Z_0358.JPG,2018-11-29 01:10:19.980,MRITC_SCP_IN2018_V06_045_20181129T011019Z_0358.JPG,SCP,45.0,358.0,3.14,-1.335,1.3090909090909093,2.5108444444444444,1700.121111111111,3.616,34.638000000000005,147.3929131344949,-44.28602816332351,5096280.98196635,531348.636226226,5097334.287563422,532364.302351685,2,2018-11-29 01:10:18.660,MRITC_SCP_IN2018_V06_045_20181129T011018Z_0358.JPG
2018-11-29 01:10:23.660,2018:11:29 01:10:24,75012000115.0,./IN2018_V06_045/stills/MRITC_SCS_IN2018_V06_045_20181129T011024Z_0359.JPG,2018-11-29 01:10:24.020,MRITC_SCS_IN2018_V06_045_20181129T011024Z_0359.JPG,SCS,45.0,359.0,4.615,1.93,2.3375000000000004,2.5105833333333334,1698.7003333333341,3.6147222222222224,34.638000000000005,147.39292136634114,-44.28601298163482,5096282.750866575,531350.4370948303,5097335.938700873,532365.3152288916,2,2018-11-29 01:10:23.660,MRITC_SCS_IN2018_V06_045_20181129T011023Z_0359.JPG
2018-11-29 01:10:23.660,2018:11:29 01:10:24,95013000014.0,./IN2018_V06_045/stills/MRITC_SCP_IN2018_V06_045_20181129T011024Z_0359.JPG,2018-11-29 01:10:24.970,MRITC_SCP_IN2018_V06_045_20181129T011024Z_0359.JPG,SCP,45.0,359.0,4.875,-4.9025,1.75,2.5102272727272728,1699.0317727272727,3.6143181818181818,34.63731818181819,147.3929281334683,-44.28601042401253,5096283.114559652,531350.8230579116,5097336.480199268,532365.876524932,2,2018-11-29 01:10:23.660,MRITC_SCP_IN2018_V06_045_20181129T011023Z_0359.JPG
2018-11-29 01:10:28.670,2018:11:29 01:10:29,75012000115.0,./IN2018_V06_045/stills/MRITC_SCS_IN2018_V06_045_20181129T011029Z_0360.JPG,2018-11-29 01:10:29.030,MRITC_SCS_IN2018_V06_045_20181129T011029Z_0360.JPG,SCS,45.0,360.0,3.17,0.415,1.6772727272727272,2.510395,1701.0517500000005,3.616,34.638000000000005,147.39295122414163,-44.285998652013475,5096284.567935603,531352.3752302502,5097338.543811032,532367.9380638646,2,2018-11-29 01:10:28.670,MRITC_SCS_IN2018_V06_045_20181129T011028Z_0360.JPG
2018-11-29 01:10:28.670,2018:11:29 01:10:29,95013000014.0,./IN2018_V06_045/stills/MRITC_SCP_IN2018_V06_045_20181129T011029Z_0360.JPG,2018-11-29 01:10:29.980,MRITC_SCP_IN2018_V06_045_20181129T011029Z_0360.JPG,SCP,45.0,360.0,3.155,-0.76,2.333333333333333,2.5102111111111114,1700.8042222222225,3.6152777777777785,34.638000000000005,147.3929518715223,-44.28599372283753,5096284.92948043,531352.7739933521,5097338.927798943,532368.2168287841,2,2018-11-29 01:10:28.670,MRITC_SCP_IN2018_V06_045_20181129T011028Z_0360.JPG
2018-11-29 01:10:33.900,2018:11:29 01:10:34,75012000115.0,./IN2018_V06_045/stills/MRITC_SCS_IN2018_V06_045_20181129T011034Z_0361.JPG,2018-11-29 01:10:34.260,MRITC_SCS_IN2018_V06_045_20181129T011034Z_0361.JPG,SCS,45.0,361.0,3.78,-4.695,1.304545454545455,2.5096,1700.9711666666674,3.6140555555555554,34.638000000000005,147.3929591482162,-44.28597505103855,5096286.509557083,531354.541776872,5097340.601860456,532369.4650544645,2,2018-11-29 01:10:33.900,MRITC_SCS_IN2018_V06_045_20181129T011033Z_0361.JPG
2018-11-29 01:10:33.900,2018:11:29 01:10:35,95013000014.0,./IN2018_V06_045/stills/MRITC_SCP_IN2018_V06_045_20181129T011035Z_0361.JPG,2018-11-29 01:10:35.210,MRITC_SCP_IN2018_V06_045_20181129T011035Z_0361.JPG,SCP,45.0,361.0,3.32,-3.82,1.15,2.5101181818181817,1701.6277727272727,3.6148636363636366,34.637136363636365,147.39296459317063,-44.28597225948365,5096286.935931785,531355.0384120711,5097341.050387615,532369.8253067724,2,2018-11-29 01:10:33.900,MRITC_SCP_IN2018_V06_045_20181129T011033Z_0361.JPG
2018-11-29 01:10:43.670,2018:11:29 01:10:44,75012000115.0,./IN2018_V06_045/stills/MRITC_SCS_IN2018_V06_045_20181129T011044Z_0362.JPG,2018-11-29 01:10:44.030,MRITC_SCS_IN2018_V06_045_20181129T011044Z_0362.JPG,SCS,45.0,362.0,3.665,0.84,1.75,2.509055555555556,1701.916666666667,3.615,34.638000000000005,147.39301250876957,-44.285947693800594,5096290.688029166,531359.4088018226,5097344.997426616,532372.9955270814,2,2018-11-29 01:10:43.670,MRITC_SCS_IN2018_V06_045_20181129T011043Z_0362.JPG
2018-11-29 01:10:43.670,2018:11:29 01:10:44,95013000014.0,./IN2018_V06_045/stills/MRITC_SCP_IN2018_V06_045_20181129T011044Z_0362.JPG,2018-11-29 01:10:44.980,MRITC_SCP_IN2018_V06_045_20181129T011044Z_0362.JPG,SCP,45.0,362.0,3.58,0.054999999999999986,1.518181818181818,2.5093,1702.0915,3.615,34.638000000000005,147.39301795372396,-44.28594490224568,5096291.114403868,531359.9054370217,5097345.445953775,532373.3557793893,2,2018-11-29 01:10:43.670,MRITC_SCP_IN2018_V06_045_20181129T011043Z_0362.JPG
2018-11-29 01:10:48.670,2018:11:29 01:10:49,75012000115.0,./IN2018_V06_045/stills/MRITC_SCS_IN2018_V06_045_20181129T011049Z_0363.JPG,2018-11-29 01:10:49.030,MRITC_SCS_IN2018_V06_045_20181129T011049Z_0363.JPG,SCS,45.0,363.0,4.1325,0.785,2.1625000000000005,2.5102090909090915,1702.1687272727274,3.614,34.638000000000005,147.39303973354168,-44.285933736026095,5096292.819902679,531361.8919778179,5097347.24006241,532374.7967886206,2,2018-11-29 01:10:48.670,MRITC_SCS_IN2018_V06_045_20181129T011048Z_0363.JPG
2018-11-29 01:10:48.670,2018:11:29 01:10:49,95013000014.0,./IN2018_V06_045/stills/MRITC_SCP_IN2018_V06_045_20181129T011049Z_0363.JPG,2018-11-29 01:10:49.980,MRITC_SCP_IN2018_V06_045_20181129T011049Z_0363.JPG,SCP,45.0,363.0,4.112500000000002,-0.06,1.9125,2.510595,1702.1173999999994,3.614,34.63735,147.3930451784961,-44.28593094447122,5096293.246277382,531362.3886130168,5097347.68858957,532375.1570409285,2,2018-11-29 01:10:48.670,MRITC_SCP_IN2018_V06_045_20181129T011048Z_0363.JPG
2018-11-29 01:10:53.660,2018:11:29 01:10:54,75012000115.0,./IN2018_V06_045/stills/MRITC_SCS_IN2018_V06_045_20181129T011054Z_0364.JPG,2018-11-29 01:10:54.020,MRITC_SCS_IN2018_V06_045_20181129T011054Z_0364.JPG,SCS,45.0,364.0,3.76,0.575,1.5375,2.51077,1703.02495,3.61435,34.63765000000001,147.3930669583138,-44.28591977825163,5096294.951776192,531364.3751538129,5097349.482698206,532376.5980501599,2,2018-11-29 01:10:53.660,MRITC_SCS_IN2018_V06_045_20181129T011053Z_0364.JPG
2018-11-29 01:10:53.660,2018:11:29 01:10:54,95013000014.0,./IN2018_V06_045/stills/MRITC_SCP_IN2018_V06_045_20181129T011054Z_0364.JPG,2018-11-29 01:10:54.980,MRITC_SCP_IN2018_V06_045_20181129T011054Z_0364.JPG,SCP,45.0,364.0,3.37,0.44,1.5,2.5109888888888894,1703.1332222222227,3.6147222222222224,34.63727777777778,147.39307240326823,-44.285916986696726,5096295.378150893,531364.8717890121,5097349.931225366,532376.9583024676,2,2018-11-29 01:10:53.660,MRITC_SCP_IN2018_V06_045_20181129T011053Z_0364.JPG
2018-11-29 01:10:58.660,2018:11:29 01:10:59,75012000115.0,./IN2018_V06_045/stills/MRITC_SCS_IN2018_V06_045_20181129T011059Z_0365.JPG,2018-11-29 01:10:59.020,MRITC_SCS_IN2018_V06_045_20181129T011059Z_0365.JPG,SCS,45.0,365.0,3.34,0.475,1.46,2.5112888888888887,1703.7642777777778,3.615,34.63727777777778,147.3930941830859,-44.285905820477154,5096297.083649701,531366.8583298082,5097351.725334002,532378.3993116991,2,2018-11-29 01:10:58.660,MRITC_SCS_IN2018_V06_045_20181129T011058Z_0365.JPG
2018-11-29 01:10:58.660,2018:11:29 01:10:59,95013000014.0,./IN2018_V06_045/stills/MRITC_SCP_IN2018_V06_045_20181129T011059Z_0365.JPG,2018-11-29 01:10:59.970,MRITC_SCP_IN2018_V06_045_20181129T011059Z_0365.JPG,SCP,45.0,365.0,3.145,0.72,1.85,2.5113318181818185,1703.7289999999996,3.615,34.637,147.39309962804037,-44.28590302892226,5096297.510024406,531367.3549650072,5097352.17386116,532378.7595640068,2,2018-11-29 01:10:58.660,MRITC_SCP_IN2018_V06_045_20181129T011058Z_0365.JPG
